Name,Population,Area
Changhua County,1280038,1074
Chiayi City,269239,60
Chiayi County,509677,1903
Hsinchu City,442570,104
Hsinchu County,553250,1427
Hualien County,328683,4628
Kaohsiung City,2775318,2951
Keelung City,371099,132
Kinmen County,137730,151
Lienchiang County,12958,28
Miaoli County,551791,1820
Nantou County,499879,4106
New Taipei City,3985915,2052
Penghu County,104121,126
Pingtung County,828524,2775
Taichung City,2793005,2214
Tainan City,1885478,2191
Taipei City,2678695,271
Taitung County,219628,3515
Taoyuan City,2198830,1220
Yilan County,456066,2143
Yunlin County,689003,1290